Etsintäkuulutetun järjetön pako Lahdessa: Poliisiautoa päin ajanutta vankikarkuria ei enää epäillä murhan yrityksistä|Kotimaa|Miehen rikosnimikkeet lieventyivät tutkinnassa.
Millaista palkkaa nuorten unelma-ammateista todellisuudessa maksetaan? HS:n testi paljastaa niin muusikon kuin koodarinkin ansiot|Kulttuuri|Nuorille tehdyssä kyselyssä luovan alan ammatin houkuttelevuutta perusteltiin usein vapaudella ja halulla matkustella. Tehdystä työstä haluttiin kuitenkin myös kunnon palkka.
Vaatekauppa joutui tuhansien eurojen korvauksiin etnisestä syrjinnästä – myyjä ei päästänyt aluksi romaneja sisään|Kotimaa|Yhdenvertaisuusvaltuutettu Kirsi Pimiä pitää tuomiota tärkeänä.
Ei pistäminen satu ja 9 muuta vanhempien kertomaa valhetta|Perhe|Lapsille opetetaan, että valehdella ei saa. Silti tutkimuksen mukaan vanhemmat valehtelevat lapsilleen jopa kolme kertaa päivässä.
Espoo United kasaa vielä joukkuetta Korisliigaan, yksi pelaaja saapuu tänään – ”Tavoite on muuttaa turhaan parjattu klisee ’tehdä oma parhaansa ja katsoa, mihin se riittää’”|Urheilu|Joukkueeseen liittyy vielä kaksi pelaajaa.
Huippu-urheilun valmennustukiean saajia karsitaan kovalla kädellä – Olympiakomitea lupaa, ettei se unohda yhtään lahjakasta nuorta lajista riippumatta|Urheilu|Urheilun lajiliitoilla on kaksi viikkoa aikaa perustella, miksi heidän lajinsa tarvitsee tehostettua valmennustukea.
Ei vasten reunoja: Näin kananmunat pitäisi oikeasti rikkoa|Ruokala|Kun tekniikka on kunnossa, ei kuoren paloja pitäisi joutua kananmunan sekaan.
Korfun parhaiten varjeltu salaisuus on kaunis aavekylä – tämän haluat kokea|Matkat|Kreikan vehreimmäksi saareksi kutsuttu Korfu kätkee sisäänsä salaisuuden. Old Perithian kylää kutsutaan Korfun tarkoin varjelluksi salaisuudeksi.
Presidenttiehdokas Huhtasaari: Niinistön kannattajakorttien määrä ei yllättänyt|Kotimaa|Presidentti Sauli Niinistön tukiyhdistys keräsi peräti 156 000 kannattajakorttia.
Pelleilmiö palasi - päiväkodilla ja koululla nähdyistä klovneista tehty ilmoituksia poliisille||"Poliisi muistuttaa, että tahallaan pelottelu voi täyttää laittoman uhkauksen tunnusmerkit. Viime syksynä pelkoa aiheuttaneesta pelleilmiöstä on ollut merkkejä myös tänä vuonna, kerrotaan Itä-Uudenmaan poliisista.
 Poliisin mukaan syyskuun aikana on tehty yksittäisiä ilmoituksia pellenaamaria käyttävistä ihmisistä ainakin Hyvinkäällä, Järvenpäässä ja Tuusulassa. Klovninaamariin pukeutuneita on nähty muun muassa koulun ja päiväkodin luona.
"
Rovion yleisöanti keskeytettiin ylimerkinnän vuoksi|Pörssiuutiset|Listautumisanti alkoi viikko sitten.
Anne Koskisen kuvat sisältävät yllätyksen –lähempää huomaa, että galleriaan levitetyillä luonnonkivilläkin on kasvot|Kulttuuri|Anne Koskisen aineettoman keveät kuvat ovat syntyneet raskaista aineista raskaalla työllä.
Poliisi: Pelottavia pellejä nähty taas – häiriöitä päiväkodin liepeillä Hyvinkäällä|Kotimaa|Viime syksynä pelkoa aiheuttaneesta pelleilmiöstä on ollut merkkejä myös tänä vuonna, kerrotaan Itä-Uudenmaan poliisista.
Rovion yleisöanti ylimerkittiin|Sijoittaminen|Peliyhtiön listautuminen näyttää etenevän suunnitelmien mukaan.
Guardian: Tilintarkastaja Deloittea vastaan tehtiin kehittynyt kyberhyökkäys, asiakkaiden sähköposteja paljastui|Ulkomaat|Hyökkäys ehti jatkua kuukausia ennen kuin se huomattiin.
Saksan vaalitulos painaa euroa|Pörssiuutiset|Vaalien poliittiset vaikutukset ovat kuitenkin melko vaimeat, sillä euroalueella on meneillään vahva ja yhtäaikainen talouden elpyminen, salkunhoitaja Nick Peters sanoo.
Microsoftilta yllätys pomoille: Bisnes-Skype syrjään, Windows 10 S tulee kovaa|Digitoday|Microsoft aikoo korvata bisnes-Skypen uudistetulla Teamsilla. Samalla Windows 10 S -käyttöjärjestelmäsaaga saa jatkoa.
HS:n miniristikossa tänään vihjeet alkavat voilla – Ratkaisetko ristikon?|Ajanviete|HS:n 5x5-miniristikko ilmlestyy päivittäin toinen toistaan kiperimmillä vihjeillä. Kokeile saatko kaikki sanat omille paikoilleen.
Kohdennettua äänimainonta tulossa myös autoihin – näin se toimii|Autot|Digitaalisen radion ja suoratoistopalvelujen yleistyessä yleistyy myös autoilijoihin kohdennettu mainonta. Markkinoilla jo toimii muun muassa ohjelmistoyhtiö Adobe.
Krista Kososen vastanäyttelijättärellä taustalla useita seksielokuvia – säikähti paljastusta, sulkeutui kotiinsa ja perhe hylkäsi|Viihde|Saksalaisnäyttelijä Sibel Kekillin värikäs menneisyys nostatti aikanaan valtavan kohun.
"Nordea: ""Sairaus ei ole vielä levinnyt asuntolainoihin"""|Asuminen|Nordea Kiinnitysluottopankin toimitusjohtajan Tom Millerin mukaan asuntolainoissa ei ole tapahtunut merkittävää luottotappiokehitystä.
Fiva: Ongelmaluottojen osuus kasvaa|Asuntolaina|Finanssivalvonta on huolissaan siitä, että suomalaisten velkaantuneisuus on ennätystasolla.
Jarruvika ilmassa: Suomalainen F-18-hävittäjä joutui tekemään vaijerilaskeutumisen Tanskaan||"Suomen Ilmavoimien F-18 Hornet lähti kesken harjoituksen Tanskaan. Ruotsissa Aurora-sotaharjoitukseen osallistunut suomalaiskone sai kesken lennon ilmoituksen mahdollisesta jarruviasta sunnuntai-iltapäivänä. Lentäjä lähetti asiasta tiedon, minkä jälkeen kone ohjattiin laskeutumaan Aalborgin kentälle Tanskaan. Syy tähän oli, että kyseinen kenttä oli lähin, jossa oli laskeutumisvaijeri.
 - Kyseessä on normaali varotoimi, kun oli arvio mahdollisesta jarrujärjestelmän häiriötilasta. Silloin laskeudutaan vaijeriin, Ilmavoimien tiedotuspäällikkö Joni Malkamäki sanoo. 
"
Lehdet: Kaikuluotainkuvissa näkyi ”tunnistamaton esine” Gävlen satamassa – ulkomaisen sukellusveneen epäillään tunkeutuneen Ruotsin aluevesille|Ulkomaat|Ruotsalaislehti Dagens Nyheterin saamassa raportissa esitetään, että Gävlen sataman edustalla merenpohjassa saattoi olla ”ulkomainen vedenalainen alus” 29. kesäkuuta.
Maailman lihavin nainen kuoli Abu Dhabissa - sydän ja munuaiset pettivät||"Pahimmillaan 500 kiloa painanut egyptiläinen Eman Ahmed Abd El Aty oli laihtunut puolet elopainostaan keväisen lihavuusleikkauksen jälkeen. Eman Ahmed Abd El Atyn uskotaan olleen maailman lihavin nainen. Hän kuoli maanantaina sairaalassa Abu Dhabissa, kun hänen sydämensä ja munuaisensa pettivät. Yli 20 lääkärin ryhmä oli hoitanut toukokuussa Burjeelin sairaalaan saapunutta El Atya, kertoo uutistoimisto AFP.
 Noin 35-vuotias El Aty haki aluksi apua lihavuusongelmaansa Intiasta, jonne hän matkusti helmikuussa. Hän ei ollut tätä ennen poistunut kotoaan yli kahteen vuosikymmeneen, ja hänen arvellaan painaneen tuolloin noin 500 kiloa.
"
Metsästäjä ampui emokarhua, jonka pennut olivat puussa - poliisi epäilee törkeää metsästysrikosta||"Metsästäjä ei ilmeisesti ollut huomannut karhunpentuja ennen emon ampumista. Metsästäjä ampui emokarhua pentujen ollessa puussa. Tapaus sattui viime viikolla Suomussalmella.
 Poliisin mukaan karhua ammuttiin luvallisen karhunmetsästyksen aikana. Tiettävästi metsästäjä oli vasta karhua ammuttuaan huomannut kaksi karhunpentua puussa ja todennut otson emokarhuksi. Osuman saanut mesikämmen pakeni haavoittuneena pentujen seuratessa sen vanavedessä.
"
Image maksoi nahkamuumeista ja Tervomaa Bowie-salamasta todennäköisesti turhaan, sanovat asiantuntijat – Maailman ehkä härskein tekijänoikeusvedätys löytyy Yhdysvalloista|Kulttuuri|Maksajan rooliin taivutaan raastuvan pelossa, vaikka aina ei tarvitsisi. HS kysyi asiantuntijoilta, voiko käsieleen tai salamameikin oikeudet omistaa.
EU poisti Kreikan budjettivajeiden mustalta listalta|Taloussanomat|Kreikka on alentanut budjettialijäämäänsä alle kolmeen prosentin rajan. Ennusteiden mukaan maa myös onnistuu pitämään alijäämänsä rajan alla tulevaisuudessa.
Vuoden liikemies on Mustin ja Mirrin Mika Sutinen|Yrittäminen|Vuoden liikemies -tittelin voittanut Mika Sutinen rakensi Mustista ja Mirristä koko Skandinavian suurimman lemmikkieläintarvikkiden ketjun.
Lehti: Ongelmiin joutunut suomalaishävittäjä laskeutui jarruvaijerin avulla Tanskassa|Kotimaa|""
Pahaa tarkoittavat aikuiset ovat oikea vaara sosiaalisessa mediassa, sanoo poliisi – ”Lasten Facebookissa” suomalaiset moderaattorit käyvät sisältöä läpi päivittäin|Kotimaa|Vanhempien hälytyskellojen pitää soida viimeistään silloin, jos joku vieras pyytää lasta lähettämään tietoja tai kuvia itsestään.
Saksan vaalit muuttaa hallituksen – kiristyykö eurokuri?|Taloussanomat|Saksan vaaleissa neljänneksi suurimmaksi puolueeksi kasvanut FDP on vaatinut Kreikan ajoa ulos eurosta ja vastustanut tulonsiirtounionia. Onnistuuko puolue tavoitteissaan, jos pääsee hallitukseen?
Uusi maailman rikkain nainen on älykkö, joka soittaa pianoa ja kirjoittaa kirjoja – kosmetiikkadynastia L’Oréalin perijätär kaihtaa seurapiirejä|Talous|Françoise Bettencourt-Meyersistä, 64, tuli maailman rikkain nainen sen jälkeen kun hänen äitinsä Liliane Bettencourt kuoli viime viikolla.
Veljenpoika huijasi kuolevalta sedältä pilkkahintaan 150&thinsp;000 euron merenrantakiinteistön||"Yhdeksääkymmentä ikävuottaan lähenevä vanhus käsitti petoksen pari kuukautta ennen kuolemaansa. Hän puhui asiassaan käräjäoikeudessa postuumisti poliisin ottamalla videolla. Vanhuksen jättämä rikosilmoitus ei johtanut tulokseen hänen elinaikanaan, mutta nyt vuotta myöhemmin asia päätyi törkeänä kiristyksensä käräjille.
 Asiassa on kyse nykyisessä Salossa sijaitsevasta vajaan hehtaarin kokoisesta kiinteistöstä. Se on ollut virallisesti 40-vuotiaan salolaismiehen omaisuutta viimeiset neljä vuotta.
"
Jo kolmas viikko menossa: Oriolan toimitusongelmat jatkuvat - vain 7 prosentilla apteekeista normaali tilanne|Terveys|Valtaosa apteekeista sanoo varastotilanteensa olevan edelleen normaalia huonompi. Ongelmia on sekä lääketoimitusten sisällössä että toimitusajoissa.
15 000 euron polttarikassan kanssa karannut morsian päätyi kodittomaksi – julkkikseksi noussut Rachel, 29, pakoilee ihmisiä|Viihde|Katalan tempun sulhaselleen tehnyt Rachel Doran ei päässyt nauttimaan anastetusta polttarikassasta pitkään.
Tällä kotitreenillä saat vahvan keskivartalon ja senttejä pois vyötäröltä – vain 4 superliikettä ja 10 minuuttia|Hyvä olo|Tervetuloa kivuton selkä ja uljas ryhti! Tehokkaalla pikatreenillä löydät syvien lihasten tuen.
Tutkija tylyttää: Viranomaiset epäonnistuivat Turun puukotuksen tiedotuksessa|Kotimaa|Tutkijan mukaan etusijalla viestinnässä tulisi olla kansalaisten turvallisuuden tunteen lisääminen.
Oikeus siirsi Göteborgin uusnatsi­mielenosoituksen kauemmas synagogasta ja kirjamessuilta|Ulkomaat|Ensi lauantaille suunniteltu Pohjoismaisen vastarintaliikkeen mielenosoitus on herättänyt paljon keskustelua Ruotsissa. Se järjestetään juutalaisten tärkeimpänä juhlapyhänä ja sen oli määrä kulkea synagogan lähettyvillä.
Tanskalaislehti: Suomalainen F18-hävittäjä lähetti hätäkutsun ilmasta – laskeutui jarruvaijeriin Ålborgissa|Kotimaa|Ilmassa vian saanut suomalainen F18-hävittäjä laskeutui jarruvaijeriin sunnuntaina kello 14.45, kirjoittaa Nordjyske.
WP: Obama ravisteli Zuckerbergin hereille valeuutisista|Digitoday|Facebookin toimitusjohtaja Mark Zuckerberg haluaa selvittää, miten Venäjän hakkerit tarkalleen hyödynsivät Facebookia siivittääkseen Donald Trumpin vaalivoittoon.
Sukellusveneen epäillään loukanneen Ruotsin aluevesiä||"Vieras sukellusvene olisi tunkeutunut Gävlen satamaan 29. kesäkuuta, kertovat ruotsalaiset lehdet. - Tapaus pitää luokitella vakavaksi, tarkoitukselliseksi loukkaukseksi, todetaan ruotsalaisen Dagens Nyheter -lehden lukemassa raportissa.
 Raportti on tehty kahden asiantuntijan aloitteesta, ja se lähetettiin muutama päivä sitten puolustusvoimille ja Gävlen satamaan.
"
Poliisille entistä enemmän ilmoituksia rahanpesusta – isot käteismäärät herättävät usein epäilyksen|Talous|Pankkien rahanpesun vastainen toiminta on kehittynyt muiden muassa tietokonesovellusten ja lisähenkilöstön takia.
Ruotsissa epäillään taas tuntemattoman sukellusveneen vierailua – tällä kertaa ”vedenalainen esine” nähtiin Gävlen satamassa|Ulkomaat|Kaikuluotaimessa näkyi vedenalainen esine, joka oli muutama tunti myöhemmin kadonnut.
Yhden kolikon viskomiselle tuli yllättävän kova hinta – englantilainen jalkapallofani kärsii tempustaan vuosia|Urheilu|18-vuotias mies sai paikallisessa tuomioistuimessa peräti kolmen vuoden porttikiellon kaikille Englannin jalkapallokentille.
Pyry Soiri sai kutsun Huuhkajien MM-karsintapeleihin|Huuhkajat|Huuhkajien Kroatia-ottelun pelipaikka vielä auki.
Ranskalaispankin väitetty osallisuus Ruandan kansanmurhassa tutkitaan|Ulkomaat|Verilöylyssä tapettiin lähes miljoona tutsia ja maltillista hutua.
Oma tytär on epäiltynä murhasta – Punakoneen maalivahti löydettiin kuolleena Moskovassa|Jääkiekko|Entinen maajoukkuemaalivahti ja Neuvostoliiton mestari Viktor Tolmatshev, 78, löydettiin surmattuna asunnostaan Moskovassa.
Japanin Abe näki tilaisuutensa tulleen – julisti maahan ennenaikaiset vaalit|Ulkomaat|Pohjois-Korean kriisi on kääntänyt japanilaisten huomion pois sisäpolitiikan skandaaleista.
Aktia lakkauttaa konttoreita ja vähentää henkilöstöä – Helsingistä ja Espoosta lähtee neljä toimipistettä|Talous|Kymmenen Aktian konttoria lakkautetaan. Noin 260 nykyistä tointa lakkaa, ja uusia avautuu 160.
Aktia vähentää työntekijöitä ja yhdistää konttoreita uudistuksissaan|Taloussanomat|Aktia aikoo yhdistää kymmenen konttoria lähellä sijaitseviin konttoreihin.
Kapteeni, pudotin vahingossa atomipommin||"Vuosien saatossa amerikkalaiset ovat tunaroineet ydinpommien kanssa urakalla. Kolme nuorta tyttöä oli leikkimässä Mars Bluffin kylässä Etelä-Carolinassa Yhdysvalloissa 11. maaliskuuta vuonna 1958.
 Sisaruksen Helen, 6, ja Frances Gregg, 9, sekä heidän yhdeksänvuotias serkkunsa Ella Davies olivat juuri siirtyneet sisarusten isän rakentamasta leikkimajasta vajaan 200 metrin päähän, kun leikkimajaan putosi ydinpommi.
"
"Taksiyhtiö Kovanen pestaa sata uutta kuskia - ""Ehtii mukaan jo pikkujouluansioille"""|Työelämä|Uuden ruotsalaisen omistajan saaneella yhtiöllä on kovat kasvuaikeet.
Irakin kurdit äänestävät tänään itsenäisyydestä kansainvälisestä paineesta huolimatta – Yhdysvallat huolissaan, Turkki uhkaa sulkea öljyhanat|Ulkomaat|Pohjois-Irakin kurdialue on osa Lähi-idän monimutkaista palapeliä. Irakin, Iranin, Turkin mutta myös YK:n turvallisuusneuvoston mielestä kurdien itsenäisyyspyrkimykset voivat syöstä maailmankolkan syvemmälle epävakauteen.
Irakin kurdit äänestävät tänään itsenäisyydestä – Turkki ja Iran protestoivat sulkemalla rajan|Ulkomaat|Irakin kurdit ottavat tänään kantaa itsenäistymiseen kansanäänestyksessä. Irakin johto on vastustanut jyrkästi kansanäänestyksen järjestämistä.
Tutkija: Kriisiviestintä epäonnistui Turun iskun jälkeen||"Rauhallinen kriisiviestintä ei onnistunut viranomaisilta ja päättäjiltä Turun puukotusiskun jälkeen, arvioi Helsingin yliopiston 
kriisiviestinnän tutkija Salli Hakala. 

Hän on tänään puhumassa Terrorismiin liittyvät pelot ja niiden hallinta -seminaarissa Helsingin yliopistolla.
Hakalan mukaan jopa hallituksen johtavilta poliitikoilta tuli keskenään ristiriitaisia viestejä, esimerkiksi kun iskun jälkeen vaadittiin nopeita lainsäädäntömuutoksia. Tutkijan mukaan kriisiviestinnän etusijalla tulisi olla kansalaisten turvallisuuden tunteen lisääminen, mitä paniikinomainen toiminta ei palvele."
Miss Suomi -finalistit soluttautuivat KGB-agenttien salattuun maailmaan – katso kuvat sensuelleista sihteereistä|Viihde|Miss Suomi -finalistit sukelsivat salaisen sihteerin rooliin.
Mies yritti murtautua lääkärikeskuksen laboratorioon - hallusta löytyi lääkkeitä ja toisen ihmisen asiapapereita||"Tapaus sattui sunnuntaina illalla. 38-vuotiasta miestä epäillään varkauden yrityksestä. Hätäkeskus sai sunnuntai-iltana noin 18.15 ilmoituksen, jonka mukaan Tampereen keskustassa sijaitsevassa lääkärikeskuksessa on mies murtautumassa laboratorioon.
 Poliisipartio otti paikalta kiinni 38-vuotiaan miehen, jota epäillään varkauden yrityksestä.
"
Presidenttiehdokas Matti Vanhanen kritisoi Sauli Niinistön ”kaksois­strategiaa”: ”Nyt on aika ilmoittaa”|Presidentinvaalit 2018|Presidentti Sauli Niinistön tueksi on kerätty 156 000 kannattajakorttia.
Aktia sulkee kymmenen konttoria ja vähentää sata työntekijää|Sijoittaminen|Pankki lopettaa 260 nykyistä työtehtävää ja avaa 160 uutta.
AfD: Taistelemme ulkomaalaisinvaasiota vastaan||"Saksan parlamenttiin rynnistänyt Vaihtoehto Saksalle -puolue uhoaa taistelevansa ulkomaalaisinvaasiota vastaan. - Emme halua menettää Saksaa erilaisista kulttuureista olevien ulkomaalaisten invaasiolle, Vaihtoehto Saksalle (AfD) -puolueen johtajiin lukeutuva Alexander Gauland sanoi tänään maanantaina pidetyssä lehdistötilaisuudessa.
 - Haluamme erilaista politiikkaa, Gauland sanoi.
"
Air Berlinin lentokoneiden ja henkilöstön tulevaisuus selviää tänään||"Talousvaikeuksiin ajautuneen lentoyhtiö Air Berlinin lentokoneiden ja 8 000 työntekijän tulevaisuus selviää tänään, kun yhtiön 
hallitus hyväksyy listan yrityksen ostajista. 

Air Berlin pilkotaan kolmen lentoyhtiön, Lufthansan , EasyJetin ja Condorin kesken. Myynnissä ovat muun muassa yhtiön 140 lentokonetta, laskeutumispaikat Saksan lentokentillä sekä arvokiinteistöjä Berliinissä. Mediaraporttien mukaan odotettavissa on, että Saksan toiseksi suurin lentoyhtiö Lufthansa ahmaisee suurimman osa Air Berlinistä."
BBC: Seitsemäs pidätys Lontoon metroiskusta - 20-vuotias mies otettu kiinni||"Britannian poliisi on pidättänyt seitsemännen epäillyn Lontoon syyskuun puolivälissä tapahtuneesta metroiskusta, kertoo BBC. Viimeisin pidätetty on 20-vuotias mies, joka otettiin kiinni Walesin Cardiffissa.
 Noin 30 ihmistä loukkaantui, kun Parsons Greenin asemalla räjähti pommi 15. syyskuuta.
"
OnePlus rekrytoi johtajia Suomeen - yhtiö ei kommentoi, tuleeko Helsingistä Pohjoismaiden hermokeskus|Digitalous|Kiinalainen puhelinvalmistaja OnePlus hakee Helsinkiin liiketoiminnan kehitysjohtajaa ja viestintäjohtajaa.
Näkymät myönteisiä lähes kaikissa Suomen seutukunnissa - suunta on kääntynyt myös pienissä teollisuuskaupungeissa||"Kehitysnäkymät ovat kääntyneet myönteisiksi lähes kaikissa Suomen seutukunnissa, ilmenee työ- ja elinkeinoministeriön (TEM) 
alueellisten kehitysnäkymien katsauksesta. -&amp;thinsp; Kasvu ja myönteiset näkymät näyttävät kattavan koko maan ja monet eri sektorit. Nyt on tärkeintä, että yritykset investoivat uuteen ja työllistävät, kehottaa elinkeinoministeri Mika Lintilä (kesk.).
 Raportin mukaan elinkeinoelämän odotukset ensi keväälle ovat kaikkein parhaat Jyväskylästä Pirkanmaalle ulottuvissa seutukunnissa, Kokkolan ja Pietarsaaren alueilla sekä Rovaniemen, Tunturi-Lapin ja Pohjois-Lapin seutukunnissa.
"
Saksan parlamentti paisuu ennätyksellisen suureksi||"Saksan parlamenttiin eli liittopäiville tulee eilisten vaalien jälkeen peräti 709 kansanedustajaa. Määrä on suurempi kuin koskaan aiemmin. Edellisiin liittopäiviin verrattuna edustajien määrä kasvaa 79:llä.
 Parlamentin koon vaihtelu johtuu Saksan vaalijärjestelmästä, jossa valituksi voi tulla sekä vaalipiirin suoralla henkilövaalilla että puolueen listalta. Koska tulos ei yleensä vastaa puolueiden saamia äänimääriä, voimasuhteet tasataan niiden mukaisiksi lisäpaikoilla.
"
"YK: Venäjän edustajat syyllistyneet ""vakaviin rikkomuksiin"" Krimillä - kidutusta ja muilutuksia"||"Oikeustilanne Krimillä on ""merkittävästi heikentynyt"" Venäjän miehityksen aikana. 
Tuoreen raportin Krimin tilanteesta laati YK:n ihmisoikeusvirasto. Se on dokumentoinut vakavia ihmisoikeusrikkomuksia, kuten sattumanvaraisia pidätyksiä, muilutuksia ja kidutusta. Lisäksi Krimillä on teloitettu ainakin yksi ihminen ilman tuomiota. 
YK vaatii raportissa Venäjää tutkimaan kaikki niemimaan kidutus-, sieppaus- ja surmatapaukset, joissa Venäjän turvallisuusjoukkojen tai Krimin itsepuolustusjoukkojen epäillään olleen osallisina. YK niin ikään vaatii Venäjää noudattamaan miehittävällä valtiolla olevia velvollisuuksia."
Ekonomistin ohje velkaantuneille ruotsalaisille: Myy asuntosi nyt ennen kuin kupla puhkeaa|Kansantalous|Jos taloudessa ei ole liikkumavaraa, niin asunto kannattaa myydä nyt, kehottaa ruotsalaisekonomisti Svenska Dagbladet -lehdessä.
"Eduskuntatalolla itseään puukottaneet olivat parikymppisiä turvapaikanhakijoita - ""halusivat kiinnittää huomiota turvapaikanhakuprosessiin"""||"Tutkinnanjohtajan mukaan tapaukseen ei liity rikosta, mutta miehiä on vielä tarkoitus kuulustella. Kaksi miestä puukotti itseään perjantaina eduskuntatalon rappusilla.
 Tutkinnanjohtaja, rikoskomisario Kirsi Kanth Helsingin poliisista kertoo, että kyse oli vuonna 1995 ja 1998 syntyneistä turvapaikanhakijoista.
"
Japanin pääministeri Abe julisti maahan ennenaikaiset parlamenttivaalit||"Japanin pääministeri Shinzo Abe on ilmoittanut, että maassa järjestetään ennenaikaiset parlamenttivaalit. 
Vaalipäivää ei ole vielä julkistettu, mutta mediatietojen mukaan vaalit saatetaan pitää 22. lokakuuta. 
Pääministerin ilmoitusta osattiin odottaa jo etukäteen. Ajankohtaa on pidetty poliittisena taktikointina, sillä pääministerin suosio on nousussa ja Japanin oppositio hajaannuksessa. Aben suosiota on vankistanut myös Pohjois-Korean kriisi."
Turisti esti viime hetkellä bussin syöksyn rotkoon - kuljettaja sai sairauskohtauksen Alpeilla||"Kuljettajan takana istunut turisti esti nopealla toiminnallaan katastrofin. 21 turistia kuljettanut turistibussi oli sunnuntaina matkalla Itävallan Alpeilla, kun 76-vuotias kuljettaja sai yhtäkkiä sairauskohtauksen ja menetti tajuntansa.
 Kuljettajan takana, ensimmäisellä penkkirivillä istunut 65-vuotias ranskalaismies huomasi tilanteen, nousi paikaltaan ja ehti painaa jarrua aivan viime hetkellä bussin edetessä kohti jyrkkää kallion reunaa.
"
"Elo: Suomi tarvitsee osakesäästötilit - ""Tämä koskettaa todella monen piensijoittajan oikeustajua"""|Sijoittaminen|Henri Elo vaatii Suomeen osakesäästötilejä.
